n,SMILE,class
214,COc1ccc2oc(-c3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2c1,0.0
215,CCN(C)C(=O)OC1CCN(C2Cc3ccccc3C2)CC1,0.0
216,Cc1ccc(NC(=O)Oc2ccc3c(c2)C2(C)CCN(C)C2N3C)c(C)c1,1.0
217,C(=CC[n+]1ccc(-c2ccccc2)cc1)C[n+]1ccc(-c2ccccc2)cc1,0.0
218,Cc1cccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)c1,0.0
219,COc1cc2oc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)cc(=O)c2cc1OC,1.0
220,CN1CC(c2ccccc2Br)C2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O,0.0
221,CCN(CCCCCC=Nc1c(C)c(O)c(NCCCCCCN(CC)Cc2ccccc2OC)c(C)c1O)Cc1ccccc1OC,1.0
222,CN(C)Cc1ccc(CSCCCCCCCCCCSCc2ccc(CN(C)C)o2)o1,0.0
223,O=C(CCCCCCN=c1c2c([nH]c3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,1.0
224,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(C(=O)c3ccccc3)cc2)c1,1.0
225,CCOC(=O)C(CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1c[nH]c2ccccc12,0.0
226,N=c1c2c([nH]c3ccc([N+](=O)[O-])cc13)CCCC2,0.0
227,N=c1c2c([nH]c3ccccc13)-c1ccc(Cl)cc1C2,0.0
228,Clc1ccc2c(=NCCCNCCCCOc3cccc4[nH]c5ccccc5c34)c3c([nH]c2c1)CCCC3,1.0
229,COc1cc2c(cc1OC)C(=O)C1(C2)C(c2ccccc2Cl)C(c2ccccc2)NC12C(=O)Nc1ccccc12,0.0
230,COc1ccc(-c2c3ccccc3[n+](C)c3ccccc23)cc1,0.0
231,c1ccc2[nH]c(-c3ccc(OCCN4CCCC4)cc3)nc2c1,0.0
232,COP1(=O)CCCC(CO)=C(C)O1,0.0
233,CC(NC(=O)Oc1cccc2c1OCC1CCN(C)C21)c1ccccc1,0.0
234,NS(=O)(=O)c1ccc(NC(=S)NCCN2CCCCC2)cc1,0.0
235,COc1ccc(-c2[nH]c(=NC(=O)C3CCN(Cc4ccccc4C(F)(F)F)CC3)sc2-c2ccc(OC)cc2)cc1,1.0
236,COc1ccc2[nH]c3c(c(=NCCCN=C4C(=O)c5ccccc5C(=O)C4Cl)c2c1)CCCC3,1.0
237,COc1cc2c(cc1OC)C[N+](C)(CCCCCCc1cccc(OC)[n+]1C)CC2,1.0
238,CN(CCCCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,1.0
239,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCCCCN=c1c3c([nH]c4cc(Cl)ccc14)CCCC3)O2,1.0
240,COc1cc2cc(NC(=O)C3CCN(Cc4ccccc4)CC3)c(=O)oc2cc1OC,1.0
241,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=O)c3C(C1)C2,0.0
242,C[N+](C)(C)CCSC(=NO)C(=O)c1ccc(Br)cc1,0.0
243,O=C(NCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,1.0
244,COc1ccc2[nH]cc(CCNC(=O)CC3CCN(Cc4ccccc4C)CC3)c2c1,0.0
245,CCCN=c1[nH]c(=NCc2ccc(OC)c(OC)c2)c2ccccc2[nH]1,0.0
246,Cc1ccc(C(=O)OC(C(=O)O)C(OC(=O)c2ccc(C)cc2)C(=O)O)cc1,1.0
247,COc1ccc2oc(C(=O)OCC3CCN(Cc4ccccc4)CC3)cc(=O)c2c1,0.0
248,C=CC[N+](C)(C)c1ccccc1OC,1.0
249,COc1cc2c(cc1OC)C(=O)C(=Cc1ccc(CN(C)C)c(O)c1)O2,0.0
